[11-Jan-2023 09:54:30 Asia/Kolkata] PHP Deprecated:  Array and string offset access syntax with curly braces is deprecated in /var/www/html/erpm/AppData/lib/PHPExcel/Cell.php on line 773
[11-Jan-2023 09:54:30 Asia/Kolkata] PHP Deprecated:  Array and string offset access syntax with curly braces is deprecated in /var/www/html/erpm/AppData/lib/PHPExcel/Cell.php on line 776
[11-Jan-2023 09:54:30 Asia/Kolkata] PHP Deprecated:  Array and string offset access syntax with curly braces is deprecated in /var/www/html/erpm/AppData/lib/PHPExcel/Cell.php on line 777
[11-Jan-2023 09:54:30 Asia/Kolkata] PHP Deprecated:  Array and string offset access syntax with curly braces is deprecated in /var/www/html/erpm/AppData/lib/PHPExcel/Cell.php on line 777
[11-Jan-2023 09:54:30 Asia/Kolkata] PHP Deprecated:  Array and string offset access syntax with curly braces is deprecated in /var/www/html/erpm/AppData/lib/PHPExcel/Cell.php on line 779
[11-Jan-2023 09:54:30 Asia/Kolkata] PHP Deprecated:  Array and string offset access syntax with curly braces is deprecated in /var/www/html/erpm/AppData/lib/PHPExcel/Cell.php on line 780
[11-Jan-2023 09:54:30 Asia/Kolkata] PHP Deprecated:  Array and string offset access syntax with curly braces is deprecated in /var/www/html/erpm/AppData/lib/PHPExcel/Cell.php on line 780
[11-Jan-2023 09:54:30 Asia/Kolkata] PHP Deprecated:  Array and string offset access syntax with curly braces is deprecated in /var/www/html/erpm/AppData/lib/PHPExcel/Cell.php on line 780
[11-Jan-2023 09:54:30 Asia/Kolkata] PHP Deprecated:  Array and string offset access syntax with curly braces is deprecated in /var/www/html/erpm/AppData/lib/PHPExcel/Cell.php on line 784
[11-Jan-2023 09:54:30 Asia/Kolkata] PHP Deprecated:  Array and string offset access syntax with curly braces is deprecated in /var/www/html/erpm/AppData/lib/PHPExcel/Cell/DefaultValueBinder.php on line 86
[11-Jan-2023 09:54:30 Asia/Kolkata] PHP Notice:  Trying to access array offset on value of type float in /var/www/html/erpm/AppData/lib/PHPExcel/Cell/DefaultValueBinder.php on line 86
[11-Jan-2023 09:54:30 Asia/Kolkata] PHP Notice:  Trying to access array offset on value of type float in /var/www/html/erpm/AppData/lib/PHPExcel/Cell/DefaultValueBinder.php on line 86
[11-Jan-2023 09:54:30 Asia/Kolkata] PHP Notice:  Trying to access array offset on value of type float in /var/www/html/erpm/AppData/lib/PHPExcel/Cell/DefaultValueBinder.php on line 86
[11-Jan-2023 09:54:30 Asia/Kolkata] PHP Notice:  Trying to access array offset on value of type float in /var/www/html/erpm/AppData/lib/PHPExcel/Cell/DefaultValueBinder.php on line 86
[11-Jan-2023 09:54:30 Asia/Kolkata] PHP Notice:  Trying to access array offset on value of type int in /var/www/html/erpm/AppData/lib/PHPExcel/Cell/DefaultValueBinder.php on line 86
[11-Jan-2023 09:54:30 Asia/Kolkata] PHP Notice:  Trying to access array offset on value of type int in /var/www/html/erpm/AppData/lib/PHPExcel/Cell/DefaultValueBinder.php on line 86
[11-Jan-2023 09:54:30 Asia/Kolkata] PHP Notice:  Undefined index: J in /var/www/html/erpm/View/pantry_upload_atnd.php on line 119
[11-Jan-2023 09:54:30 Asia/Kolkata] PHP Notice:  Undefined index: K in /var/www/html/erpm/View/pantry_upload_atnd.php on line 119
[11-Jan-2023 09:54:30 Asia/Kolkata] PHP Notice:  Undefined index: L in /var/www/html/erpm/View/pantry_upload_atnd.php on line 119
[11-Jan-2023 09:54:30 Asia/Kolkata] PHP Notice:  Undefined index: M in /var/www/html/erpm/View/pantry_upload_atnd.php on line 119
[11-Jan-2023 09:54:30 Asia/Kolkata] PHP Notice:  Undefined index: N in /var/www/html/erpm/View/pantry_upload_atnd.php on line 119
[11-Jan-2023 09:54:30 Asia/Kolkata] PHP Notice:  Undefined index: O in /var/www/html/erpm/View/pantry_upload_atnd.php on line 119
[11-Jan-2023 09:54:30 Asia/Kolkata] PHP Notice:  Undefined index: P in /var/www/html/erpm/View/pantry_upload_atnd.php on line 119
[11-Jan-2023 09:54:30 Asia/Kolkata] PHP Notice:  Undefined index: Q in /var/www/html/erpm/View/pantry_upload_atnd.php on line 119
[11-Jan-2023 09:54:30 Asia/Kolkata] PHP Notice:  Undefined index: R in /var/www/html/erpm/View/pantry_upload_atnd.php on line 119
[11-Jan-2023 09:54:30 Asia/Kolkata] PHP Notice:  Undefined index: S in /var/www/html/erpm/View/pantry_upload_atnd.php on line 119
[11-Jan-2023 09:54:30 Asia/Kolkata] PHP Notice:  Undefined index: T in /var/www/html/erpm/View/pantry_upload_atnd.php on line 119
[11-Jan-2023 09:54:30 Asia/Kolkata] PHP Notice:  Undefined index: U in /var/www/html/erpm/View/pantry_upload_atnd.php on line 119
[11-Jan-2023 09:54:30 Asia/Kolkata] PHP Notice:  Undefined index: V in /var/www/html/erpm/View/pantry_upload_atnd.php on line 119
[11-Jan-2023 09:54:30 Asia/Kolkata] PHP Notice:  Undefined index: W in /var/www/html/erpm/View/pantry_upload_atnd.php on line 119
[11-Jan-2023 09:54:30 Asia/Kolkata] PHP Notice:  Undefined index: X in /var/www/html/erpm/View/pantry_upload_atnd.php on line 119
[11-Jan-2023 09:54:30 Asia/Kolkata] PHP Notice:  Undefined index: Y in /var/www/html/erpm/View/pantry_upload_atnd.php on line 119
[11-Jan-2023 09:54:30 Asia/Kolkata] PHP Notice:  Undefined index: Z in /var/www/html/erpm/View/pantry_upload_atnd.php on line 119
[11-Jan-2023 09:54:30 Asia/Kolkata] PHP Notice:  Undefined index: AA in /var/www/html/erpm/View/pantry_upload_atnd.php on line 119
[11-Jan-2023 09:54:30 Asia/Kolkata] PHP Notice:  Undefined index: AB in /var/www/html/erpm/View/pantry_upload_atnd.php on line 119
[11-Jan-2023 09:54:30 Asia/Kolkata] PHP Notice:  Undefined index: AC in /var/www/html/erpm/View/pantry_upload_atnd.php on line 119
[11-Jan-2023 09:54:30 Asia/Kolkata] PHP Notice:  Undefined index: AD in /var/www/html/erpm/View/pantry_upload_atnd.php on line 119
[11-Jan-2023 09:54:30 Asia/Kolkata] PHP Notice:  Undefined index: AE in /var/www/html/erpm/View/pantry_upload_atnd.php on line 119
[11-Jan-2023 09:54:30 Asia/Kolkata] PHP Notice:  Undefined index: AF in /var/www/html/erpm/View/pantry_upload_atnd.php on line 119
[11-Jan-2023 09:54:30 Asia/Kolkata] PHP Notice:  Undefined index: AG in /var/www/html/erpm/View/pantry_upload_atnd.php on line 119
[11-Jan-2023 09:54:30 Asia/Kolkata] PHP Notice:  Undefined index: AH in /var/www/html/erpm/View/pantry_upload_atnd.php on line 119
[11-Jan-2023 09:54:30 Asia/Kolkata] PHP Notice:  Undefined index: AI in /var/www/html/erpm/View/pantry_upload_atnd.php on line 119
[11-Jan-2023 09:54:30 Asia/Kolkata] PHP Notice:  Undefined index: AJ in /var/www/html/erpm/View/pantry_upload_atnd.php on line 119
[11-Jan-2023 09:54:30 Asia/Kolkata] PHP Notice:  Undefined index: AK in /var/www/html/erpm/View/pantry_upload_atnd.php on line 119
[11-Jan-2023 09:54:30 Asia/Kolkata] PHP Notice:  Undefined index: AL in /var/www/html/erpm/View/pantry_upload_atnd.php on line 119
[11-Jan-2023 09:54:30 Asia/Kolkata] PHP Notice:  Undefined index: AM in /var/www/html/erpm/View/pantry_upload_atnd.php on line 119
[11-Jan-2023 09:54:30 Asia/Kolkata] PHP Notice:  Undefined index: AN in /var/www/html/erpm/View/pantry_upload_atnd.php on line 119
