[12-Jan-2023 10:07:51 Asia/Kolkata] PHP Warning:  include_once(../Services/sendsms_API1.php): failed to open stream: No such file or directory in /var/www/html/erpm/View/ALsendOnEmail.php on line 12
[12-Jan-2023 10:07:51 Asia/Kolkata] PHP Warning:  include_once(): Failed opening '../Services/sendsms_API1.php' for inclusion (include_path='.:/usr/share/php') in /var/www/html/erpm/View/ALsendOnEmail.php on line 12
[12-Jan-2023 10:08:03 Asia/Kolkata] PHP Warning:  include_once(../Services/sendsms_API1.php): failed to open stream: No such file or directory in /var/www/html/erpm/View/ALsendOnEmail.php on line 12
[12-Jan-2023 10:08:03 Asia/Kolkata] PHP Warning:  include_once(): Failed opening '../Services/sendsms_API1.php' for inclusion (include_path='.:/usr/share/php') in /var/www/html/erpm/View/ALsendOnEmail.php on line 12
[12-Jan-2023 10:08:03 Asia/Kolkata] PHP Notice:  Undefined variable: page1 in /var/www/html/erpm/View/ALsendOnEmail.php on line 746
[12-Jan-2023 10:08:03 Asia/Kolkata] PHP Warning:  chr() expects parameter 1 to be int, string given in /var/www/html/erpm/TCPDF/include/tcpdf_fonts.php on line 1671
[12-Jan-2023 10:08:03 Asia/Kolkata] PHP Deprecated:  The each() function is deprecated. This message will be suppressed on further calls in /var/www/html/erpm/TCPDF/tcpdf.php on line 16548
[12-Jan-2023 10:08:03 Asia/Kolkata] PHP Warning:  Use of undefined constant EMAIL_HOST - assumed 'EMAIL_HOST' (this will throw an Error in a future version of PHP) in /var/www/html/erpm/View/ALsendOnEmail.php on line 1099
[12-Jan-2023 10:08:03 Asia/Kolkata] PHP Warning:  Use of undefined constant EMAIL_AUTH - assumed 'EMAIL_AUTH' (this will throw an Error in a future version of PHP) in /var/www/html/erpm/View/ALsendOnEmail.php on line 1100
[12-Jan-2023 10:08:03 Asia/Kolkata] PHP Warning:  Use of undefined constant EMAIL_USER - assumed 'EMAIL_USER' (this will throw an Error in a future version of PHP) in /var/www/html/erpm/View/ALsendOnEmail.php on line 1101
[12-Jan-2023 10:08:03 Asia/Kolkata] PHP Warning:  Use of undefined constant EMAIL_PASS - assumed 'EMAIL_PASS' (this will throw an Error in a future version of PHP) in /var/www/html/erpm/View/ALsendOnEmail.php on line 1102
[12-Jan-2023 10:08:03 Asia/Kolkata] PHP Warning:  Use of undefined constant EMAIL_SMTPSecure - assumed 'EMAIL_SMTPSecure' (this will throw an Error in a future version of PHP) in /var/www/html/erpm/View/ALsendOnEmail.php on line 1103
[12-Jan-2023 10:08:03 Asia/Kolkata] PHP Warning:  Use of undefined constant EMAIL_PORT - assumed 'EMAIL_PORT' (this will throw an Error in a future version of PHP) in /var/www/html/erpm/View/ALsendOnEmail.php on line 1104
[12-Jan-2023 10:08:03 Asia/Kolkata] PHP Warning:  Use of undefined constant EMAIL_FROM - assumed 'EMAIL_FROM' (this will throw an Error in a future version of PHP) in /var/www/html/erpm/View/ALsendOnEmail.php on line 1105
[12-Jan-2023 10:08:03 Asia/Kolkata] PHP Warning:  Use of undefined constant EMAIL_FROMWhere - assumed 'EMAIL_FROMWhere' (this will throw an Error in a future version of PHP) in /var/www/html/erpm/View/ALsendOnEmail.php on line 1105
[12-Jan-2023 10:08:03 Asia/Kolkata] PHP Deprecated:  Function get_magic_quotes_runtime() is deprecated in /var/www/html/erpm/AppData/lib/PHPMailer-master/class.phpmailer.php on line 2574
[12-Jan-2023 10:08:03 Asia/Kolkata] PHP Notice:  Trying to get property 'num_rows' of non-object in /var/www/html/erpm/View/ALsendOnEmail.php on line 1165
[12-Jan-2023 10:09:23 Asia/Kolkata] PHP Notice:  Undefined index: txt_dateMonth in /var/www/html/erpm/View/team_atnd.php on line 32
[12-Jan-2023 10:09:27 Asia/Kolkata] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/erpm/View/team_atnd.php on line 247
[12-Jan-2023 10:09:27 Asia/Kolkata] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/erpm/View/team_atnd.php on line 319
[12-Jan-2023 10:10:13 Asia/Kolkata] PHP Notice:  Undefined index: emp_status in /var/www/html/erpm/View/rpt_Roster_for_rt.php on line 186
[12-Jan-2023 10:10:13 Asia/Kolkata] PHP Notice:  Undefined index: emp_status in /var/www/html/erpm/View/rpt_Roster_for_rt.php on line 190
[12-Jan-2023 10:11:43 Asia/Kolkata] PHP Notice:  Undefined index: handler in /var/www/html/erpm/View/add_issue.php on line 23
[12-Jan-2023 10:13:08 Asia/Kolkata] PHP Notice:  Undefined index: handler in /var/www/html/erpm/View/add_issue.php on line 23
[12-Jan-2023 10:14:47 Asia/Kolkata] PHP Notice:  Undefined index: handler in /var/www/html/erpm/View/add_issue.php on line 23
[12-Jan-2023 10:15:22 Asia/Kolkata] PHP Notice:  Undefined index: travel_date in /var/www/html/erpm/View/expenses.php on line 60
[12-Jan-2023 10:15:22 Asia/Kolkata] PHP Notice:  Undefined index: placeFrom in /var/www/html/erpm/View/expenses.php on line 61
[12-Jan-2023 10:15:22 Asia/Kolkata] PHP Notice:  Undefined index: placeTO in /var/www/html/erpm/View/expenses.php on line 62
[12-Jan-2023 10:15:22 Asia/Kolkata] PHP Notice:  Undefined index: modeOftravel in /var/www/html/erpm/View/expenses.php on line 63
[12-Jan-2023 10:15:22 Asia/Kolkata] PHP Notice:  Undefined index: receipt_no in /var/www/html/erpm/View/expenses.php on line 66
[12-Jan-2023 10:15:22 Asia/Kolkata] PHP Notice:  Undefined index: remarks in /var/www/html/erpm/View/expenses.php on line 68
[12-Jan-2023 10:15:22 Asia/Kolkata] PHP Notice:  Undefined index: returnDate in /var/www/html/erpm/View/expenses.php on line 74
[12-Jan-2023 10:15:22 Asia/Kolkata] PHP Notice:  Undefined index: car_km in /var/www/html/erpm/View/expenses.php on line 75
[12-Jan-2023 10:15:25 Asia/Kolkata] PHP Notice:  Undefined index: travel_date in /var/www/html/erpm/View/expenses.php on line 60
[12-Jan-2023 10:15:25 Asia/Kolkata] PHP Notice:  Undefined index: placeFrom in /var/www/html/erpm/View/expenses.php on line 61
[12-Jan-2023 10:15:25 Asia/Kolkata] PHP Notice:  Undefined index: placeTO in /var/www/html/erpm/View/expenses.php on line 62
[12-Jan-2023 10:15:25 Asia/Kolkata] PHP Notice:  Undefined index: modeOftravel in /var/www/html/erpm/View/expenses.php on line 63
[12-Jan-2023 10:15:25 Asia/Kolkata] PHP Notice:  Undefined index: receipt_no in /var/www/html/erpm/View/expenses.php on line 66
[12-Jan-2023 10:15:25 Asia/Kolkata] PHP Notice:  Undefined index: remarks in /var/www/html/erpm/View/expenses.php on line 68
[12-Jan-2023 10:15:25 Asia/Kolkata] PHP Notice:  Undefined index: returnDate in /var/www/html/erpm/View/expenses.php on line 74
[12-Jan-2023 10:15:25 Asia/Kolkata] PHP Notice:  Undefined index: car_km in /var/www/html/erpm/View/expenses.php on line 75
[12-Jan-2023 10:17:15 Asia/Kolkata] PHP Warning:  move_uploaded_file(/var/www/html/erpm/View/../ExpenseFood/CE0821939593_2023-01-12_101715.pdf): failed to open stream: No such file or directory in /var/www/html/erpm/View/expenses.php on line 35
[12-Jan-2023 10:17:15 Asia/Kolkata] PHP Warning:  move_uploaded_file(): Unable to move '/tmp/php8uF9cz' to '/var/www/html/erpm/View/../ExpenseFood/CE0821939593_2023-01-12_101715.pdf' in /var/www/html/erpm/View/expenses.php on line 35
[12-Jan-2023 10:17:15 Asia/Kolkata] PHP Notice:  Undefined index: travel_date in /var/www/html/erpm/View/expenses.php on line 60
[12-Jan-2023 10:17:15 Asia/Kolkata] PHP Notice:  Undefined index: placeFrom in /var/www/html/erpm/View/expenses.php on line 61
[12-Jan-2023 10:17:15 Asia/Kolkata] PHP Notice:  Undefined index: placeTO in /var/www/html/erpm/View/expenses.php on line 62
[12-Jan-2023 10:17:15 Asia/Kolkata] PHP Notice:  Undefined index: modeOftravel in /var/www/html/erpm/View/expenses.php on line 63
[12-Jan-2023 10:17:15 Asia/Kolkata] PHP Notice:  Undefined index: returnDate in /var/www/html/erpm/View/expenses.php on line 74
[12-Jan-2023 10:17:15 Asia/Kolkata] PHP Notice:  Undefined index: car_km in /var/www/html/erpm/View/expenses.php on line 75
[12-Jan-2023 10:17:57 Asia/Kolkata] PHP Warning:  include_once(../Services/sendsms_API1.php): failed to open stream: No such file or directory in /var/www/html/erpm/View/ALsendOnEmail.php on line 12
[12-Jan-2023 10:17:57 Asia/Kolkata] PHP Warning:  include_once(): Failed opening '../Services/sendsms_API1.php' for inclusion (include_path='.:/usr/share/php') in /var/www/html/erpm/View/ALsendOnEmail.php on line 12
[12-Jan-2023 10:18:48 Asia/Kolkata] PHP Notice:  Undefined index: __user_logid in /var/www/html/erpm/AppCode/nHead.php on line 2
