[29-Dec-2022 12:20:53 Asia/Kolkata] PHP Warning:  mysqli_stmt::bind_param(): Number of elements in type definition string doesn't match number of bind variables in /var/www/html/erpm/Controller/ConLog.php on line 464
[29-Dec-2022 12:20:54 Asia/Kolkata] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/erpm/View/index.php on line 346
[29-Dec-2022 12:22:40 Asia/Kolkata] PHP Notice:  Undefined index: txt_dateFrom in /var/www/html/erpm/View/bgv_report.php on line 78
[29-Dec-2022 12:22:40 Asia/Kolkata] PHP Notice:  Undefined index: txt_dateTo in /var/www/html/erpm/View/bgv_report.php on line 79
[29-Dec-2022 12:23:37 Asia/Kolkata] PHP Notice:  Undefined index: __user_logid in /var/www/html/erpm/AppCode/nHead.php on line 2
[29-Dec-2022 12:23:39 Asia/Kolkata] PHP Warning:  mysqli_stmt::bind_param(): Number of elements in type definition string doesn't match number of bind variables in /var/www/html/erpm/Controller/ConLog.php on line 464
[29-Dec-2022 12:23:39 Asia/Kolkata] PHP Warning:  Use of undefined constant EMS_CenterName - assumed 'EMS_CenterName' (this will throw an Error in a future version of PHP) in /var/www/html/erpm/Controller/ConLog.php on line 470
[29-Dec-2022 12:23:39 Asia/Kolkata] PHP Warning:  Use of undefined constant EMAIL_HOST - assumed 'EMAIL_HOST' (this will throw an Error in a future version of PHP) in /var/www/html/erpm/Controller/ConLog.php on line 473
[29-Dec-2022 12:23:39 Asia/Kolkata] PHP Warning:  Use of undefined constant EMAIL_AUTH - assumed 'EMAIL_AUTH' (this will throw an Error in a future version of PHP) in /var/www/html/erpm/Controller/ConLog.php on line 474
[29-Dec-2022 12:23:39 Asia/Kolkata] PHP Warning:  Use of undefined constant EMAIL_USER - assumed 'EMAIL_USER' (this will throw an Error in a future version of PHP) in /var/www/html/erpm/Controller/ConLog.php on line 475
[29-Dec-2022 12:23:39 Asia/Kolkata] PHP Warning:  Use of undefined constant EMAIL_PASS - assumed 'EMAIL_PASS' (this will throw an Error in a future version of PHP) in /var/www/html/erpm/Controller/ConLog.php on line 476
[29-Dec-2022 12:23:39 Asia/Kolkata] PHP Warning:  Use of undefined constant EMAIL_SMTPSecure - assumed 'EMAIL_SMTPSecure' (this will throw an Error in a future version of PHP) in /var/www/html/erpm/Controller/ConLog.php on line 477
[29-Dec-2022 12:23:39 Asia/Kolkata] PHP Warning:  Use of undefined constant EMAIL_PORT - assumed 'EMAIL_PORT' (this will throw an Error in a future version of PHP) in /var/www/html/erpm/Controller/ConLog.php on line 478
[29-Dec-2022 12:23:39 Asia/Kolkata] PHP Warning:  Use of undefined constant EMAIL_FROM - assumed 'EMAIL_FROM' (this will throw an Error in a future version of PHP) in /var/www/html/erpm/Controller/ConLog.php on line 479
[29-Dec-2022 12:23:39 Asia/Kolkata] PHP Warning:  Use of undefined constant EMS_CenterName - assumed 'EMS_CenterName' (this will throw an Error in a future version of PHP) in /var/www/html/erpm/Controller/ConLog.php on line 482
[29-Dec-2022 12:23:41 Asia/Kolkata] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/erpm/View/index.php on line 346
[29-Dec-2022 12:23:50 Asia/Kolkata] PHP Notice:  Undefined variable: date_From in /var/www/html/erpm/View/bgv_report.php on line 91
[29-Dec-2022 12:23:50 Asia/Kolkata] PHP Notice:  Undefined variable: date_To in /var/www/html/erpm/View/bgv_report.php on line 95
[29-Dec-2022 12:24:03 Asia/Kolkata] PHP Notice:  Undefined variable: date_From in /var/www/html/erpm/View/bgv_report.php on line 91
[29-Dec-2022 12:24:03 Asia/Kolkata] PHP Notice:  Undefined variable: date_To in /var/www/html/erpm/View/bgv_report.php on line 95
[29-Dec-2022 12:24:11 Asia/Kolkata] PHP Notice:  Undefined variable: date_From in /var/www/html/erpm/View/bgv_report.php on line 91
[29-Dec-2022 12:24:11 Asia/Kolkata] PHP Notice:  Undefined variable: date_To in /var/www/html/erpm/View/bgv_report.php on line 95
[29-Dec-2022 12:24:42 Asia/Kolkata] PHP Notice:  Undefined variable: date_From in /var/www/html/erpm/View/bgv_report.php on line 91
[29-Dec-2022 12:24:42 Asia/Kolkata] PHP Notice:  Undefined variable: date_To in /var/www/html/erpm/View/bgv_report.php on line 95
[29-Dec-2022 12:24:49 Asia/Kolkata] PHP Notice:  Undefined variable: date_From in /var/www/html/erpm/View/bgv_report.php on line 91
[29-Dec-2022 12:24:49 Asia/Kolkata] PHP Notice:  Undefined variable: date_To in /var/www/html/erpm/View/bgv_report.php on line 95
[29-Dec-2022 12:25:13 Asia/Kolkata] PHP Notice:  Undefined variable: date_From in /var/www/html/erpm/View/bgv_report.php on line 90
[29-Dec-2022 12:25:13 Asia/Kolkata] PHP Notice:  Undefined variable: date_To in /var/www/html/erpm/View/bgv_report.php on line 94
[29-Dec-2022 12:25:23 Asia/Kolkata] PHP Notice:  Undefined variable: date_From in /var/www/html/erpm/View/bgv_report.php on line 90
[29-Dec-2022 12:25:23 Asia/Kolkata] PHP Notice:  Undefined variable: date_To in /var/www/html/erpm/View/bgv_report.php on line 94
[29-Dec-2022 12:26:17 Asia/Kolkata] PHP Notice:  Undefined variable: date_From in /var/www/html/erpm/View/bgv_report.php on line 90
[29-Dec-2022 12:26:17 Asia/Kolkata] PHP Notice:  Undefined variable: date_To in /var/www/html/erpm/View/bgv_report.php on line 94
[29-Dec-2022 12:29:24 Asia/Kolkata] PHP Notice:  Undefined index: __user_logid in /var/www/html/erpm/AppCode/nHead.php on line 2
[29-Dec-2022 12:29:27 Asia/Kolkata] PHP Warning:  mysqli_stmt::bind_param(): Number of elements in type definition string doesn't match number of bind variables in /var/www/html/erpm/Controller/ConLog.php on line 464
[29-Dec-2022 12:29:28 Asia/Kolkata] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/erpm/View/index.php on line 346
[29-Dec-2022 12:31:14 Asia/Kolkata] PHP Notice:  Undefined index: __user_logid in /var/www/html/erpm/AppCode/nHead.php on line 2
[29-Dec-2022 12:31:16 Asia/Kolkata] PHP Warning:  mysqli_stmt::bind_param(): Number of elements in type definition string doesn't match number of bind variables in /var/www/html/erpm/Controller/ConLog.php on line 464
[29-Dec-2022 12:31:16 Asia/Kolkata] PHP Warning:  Use of undefined constant EMS_CenterName - assumed 'EMS_CenterName' (this will throw an Error in a future version of PHP) in /var/www/html/erpm/Controller/ConLog.php on line 470
[29-Dec-2022 12:31:16 Asia/Kolkata] PHP Warning:  Use of undefined constant EMAIL_HOST - assumed 'EMAIL_HOST' (this will throw an Error in a future version of PHP) in /var/www/html/erpm/Controller/ConLog.php on line 473
[29-Dec-2022 12:31:16 Asia/Kolkata] PHP Warning:  Use of undefined constant EMAIL_AUTH - assumed 'EMAIL_AUTH' (this will throw an Error in a future version of PHP) in /var/www/html/erpm/Controller/ConLog.php on line 474
[29-Dec-2022 12:31:16 Asia/Kolkata] PHP Warning:  Use of undefined constant EMAIL_USER - assumed 'EMAIL_USER' (this will throw an Error in a future version of PHP) in /var/www/html/erpm/Controller/ConLog.php on line 475
[29-Dec-2022 12:31:16 Asia/Kolkata] PHP Warning:  Use of undefined constant EMAIL_PASS - assumed 'EMAIL_PASS' (this will throw an Error in a future version of PHP) in /var/www/html/erpm/Controller/ConLog.php on line 476
[29-Dec-2022 12:31:16 Asia/Kolkata] PHP Warning:  Use of undefined constant EMAIL_SMTPSecure - assumed 'EMAIL_SMTPSecure' (this will throw an Error in a future version of PHP) in /var/www/html/erpm/Controller/ConLog.php on line 477
[29-Dec-2022 12:31:16 Asia/Kolkata] PHP Warning:  Use of undefined constant EMAIL_PORT - assumed 'EMAIL_PORT' (this will throw an Error in a future version of PHP) in /var/www/html/erpm/Controller/ConLog.php on line 478
[29-Dec-2022 12:31:16 Asia/Kolkata] PHP Warning:  Use of undefined constant EMAIL_FROM - assumed 'EMAIL_FROM' (this will throw an Error in a future version of PHP) in /var/www/html/erpm/Controller/ConLog.php on line 479
[29-Dec-2022 12:31:16 Asia/Kolkata] PHP Warning:  Use of undefined constant EMS_CenterName - assumed 'EMS_CenterName' (this will throw an Error in a future version of PHP) in /var/www/html/erpm/Controller/ConLog.php on line 482
[29-Dec-2022 12:31:18 Asia/Kolkata] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/erpm/View/index.php on line 346
[29-Dec-2022 12:31:24 Asia/Kolkata] PHP Notice:  Undefined index: pid in /var/www/html/erpm/View/bqm_details.php on line 146
[29-Dec-2022 12:31:24 Asia/Kolkata] PHP Notice:  Undefined index: pid in /var/www/html/erpm/View/bqm_details.php on line 146
[29-Dec-2022 12:31:24 Asia/Kolkata] PHP Notice:  Undefined index: pid in /var/www/html/erpm/View/bqm_details.php on line 146
[29-Dec-2022 12:31:24 Asia/Kolkata] PHP Notice:  Undefined index: pid in /var/www/html/erpm/View/bqm_details.php on line 146
[29-Dec-2022 12:31:24 Asia/Kolkata] PHP Notice:  Undefined index: pid in /var/www/html/erpm/View/bqm_details.php on line 146
[29-Dec-2022 12:31:24 Asia/Kolkata] PHP Notice:  Undefined index: pid in /var/www/html/erpm/View/bqm_details.php on line 146
[29-Dec-2022 12:31:24 Asia/Kolkata] PHP Notice:  Undefined index: pid in /var/www/html/erpm/View/bqm_details.php on line 146
