[02-Jan-2023 15:25:33 Asia/Kolkata] PHP Notice:  Undefined variable: row in /var/www/html/erpm/Controller/get_site_master_controller.php on line 45
[02-Jan-2023 15:25:33 Asia/Kolkata] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/erpm/Controller/get_site_master_controller.php on line 45
[02-Jan-2023 15:25:33 Asia/Kolkata] PHP Notice:  Undefined variable: row in /var/www/html/erpm/Controller/get_site_master_controller.php on line 43
[02-Jan-2023 15:25:33 Asia/Kolkata] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/erpm/Controller/get_site_master_controller.php on line 43
[02-Jan-2023 15:25:33 Asia/Kolkata] PHP Notice:  Undefined variable: row in /var/www/html/erpm/Controller/get_site_master_controller.php on line 45
[02-Jan-2023 15:25:33 Asia/Kolkata] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/erpm/Controller/get_site_master_controller.php on line 45
[02-Jan-2023 15:26:43 Asia/Kolkata] PHP Notice:  Undefined variable: row in /var/www/html/erpm/Controller/get_site_master_controller.php on line 43
[02-Jan-2023 15:26:43 Asia/Kolkata] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/erpm/Controller/get_site_master_controller.php on line 43
[02-Jan-2023 15:26:43 Asia/Kolkata] PHP Notice:  Undefined variable: row in /var/www/html/erpm/Controller/get_site_master_controller.php on line 45
[02-Jan-2023 15:26:43 Asia/Kolkata] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/erpm/Controller/get_site_master_controller.php on line 45
[02-Jan-2023 15:26:43 Asia/Kolkata] PHP Notice:  Undefined variable: row in /var/www/html/erpm/Controller/get_site_master_controller.php on line 43
[02-Jan-2023 15:26:43 Asia/Kolkata] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/erpm/Controller/get_site_master_controller.php on line 43
[02-Jan-2023 15:26:43 Asia/Kolkata] PHP Notice:  Undefined variable: row in /var/www/html/erpm/Controller/get_site_master_controller.php on line 45
[02-Jan-2023 15:26:43 Asia/Kolkata] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/erpm/Controller/get_site_master_controller.php on line 45
[02-Jan-2023 15:26:43 Asia/Kolkata] PHP Notice:  Undefined variable: row in /var/www/html/erpm/Controller/get_site_master_controller.php on line 43
[02-Jan-2023 15:26:43 Asia/Kolkata] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/erpm/Controller/get_site_master_controller.php on line 43
[02-Jan-2023 15:26:43 Asia/Kolkata] PHP Notice:  Undefined variable: row in /var/www/html/erpm/Controller/get_site_master_controller.php on line 45
[02-Jan-2023 15:26:43 Asia/Kolkata] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/erpm/Controller/get_site_master_controller.php on line 45
[02-Jan-2023 15:26:43 Asia/Kolkata] PHP Notice:  Undefined variable: row in /var/www/html/erpm/Controller/get_site_master_controller.php on line 43
[02-Jan-2023 15:26:43 Asia/Kolkata] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/erpm/Controller/get_site_master_controller.php on line 43
[02-Jan-2023 15:26:43 Asia/Kolkata] PHP Notice:  Undefined variable: row in /var/www/html/erpm/Controller/get_site_master_controller.php on line 45
[02-Jan-2023 15:26:43 Asia/Kolkata] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/erpm/Controller/get_site_master_controller.php on line 45
[02-Jan-2023 15:26:43 Asia/Kolkata] PHP Notice:  Undefined variable: row in /var/www/html/erpm/Controller/get_site_master_controller.php on line 43
[02-Jan-2023 15:26:43 Asia/Kolkata] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/erpm/Controller/get_site_master_controller.php on line 43
[02-Jan-2023 15:26:43 Asia/Kolkata] PHP Notice:  Undefined variable: row in /var/www/html/erpm/Controller/get_site_master_controller.php on line 45
[02-Jan-2023 15:26:43 Asia/Kolkata] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/erpm/Controller/get_site_master_controller.php on line 45
[02-Jan-2023 15:26:43 Asia/Kolkata] PHP Notice:  Undefined variable: row in /var/www/html/erpm/Controller/get_site_master_controller.php on line 43
[02-Jan-2023 15:26:43 Asia/Kolkata] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/erpm/Controller/get_site_master_controller.php on line 43
[02-Jan-2023 15:26:43 Asia/Kolkata] PHP Notice:  Undefined variable: row in /var/www/html/erpm/Controller/get_site_master_controller.php on line 45
[02-Jan-2023 15:26:43 Asia/Kolkata] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/erpm/Controller/get_site_master_controller.php on line 45
[02-Jan-2023 15:26:43 Asia/Kolkata] PHP Notice:  Undefined variable: row in /var/www/html/erpm/Controller/get_site_master_controller.php on line 43
[02-Jan-2023 15:26:43 Asia/Kolkata] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/erpm/Controller/get_site_master_controller.php on line 43
[02-Jan-2023 15:26:43 Asia/Kolkata] PHP Notice:  Undefined variable: row in /var/www/html/erpm/Controller/get_site_master_controller.php on line 45
[02-Jan-2023 15:26:43 Asia/Kolkata] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/erpm/Controller/get_site_master_controller.php on line 45
[02-Jan-2023 15:26:44 Asia/Kolkata] PHP Notice:  Undefined variable: emp_mail in /var/www/html/erpm/View/employee_serach.php on line 347
[02-Jan-2023 15:26:44 Asia/Kolkata] PHP Notice:  Undefined variable: sqlConnect in /var/www/html/erpm/View/employee_serach.php on line 492
[02-Jan-2023 15:26:44 Asia/Kolkata] PHP Fatal error:  Uncaught Exception: Problem preparing query () Query was empty in /var/www/html/erpm/AppData/Class/MysqliDb.php:1514
Stack trace:
#0 /var/www/html/erpm/AppData/Class/MysqliDb.php(414): MysqliDb->_prepareQuery()
#1 /var/www/html/erpm/View/employee_serach.php(492): MysqliDb->rawQuery()
#2 {main}
  thrown in /var/www/html/erpm/AppData/Class/MysqliDb.php on line 1514
[02-Jan-2023 15:27:21 Asia/Kolkata] PHP Notice:  Undefined variable: row in /var/www/html/erpm/Controller/get_site_master_controller.php on line 43
[02-Jan-2023 15:27:21 Asia/Kolkata] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/erpm/Controller/get_site_master_controller.php on line 43
[02-Jan-2023 15:27:21 Asia/Kolkata] PHP Notice:  Undefined variable: row in /var/www/html/erpm/Controller/get_site_master_controller.php on line 45
[02-Jan-2023 15:27:21 Asia/Kolkata] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/erpm/Controller/get_site_master_controller.php on line 45
[02-Jan-2023 15:27:21 Asia/Kolkata] PHP Notice:  Undefined variable: row in /var/www/html/erpm/Controller/get_site_master_controller.php on line 43
[02-Jan-2023 15:27:21 Asia/Kolkata] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/erpm/Controller/get_site_master_controller.php on line 43
[02-Jan-2023 15:27:21 Asia/Kolkata] PHP Notice:  Undefined variable: row in /var/www/html/erpm/Controller/get_site_master_controller.php on line 45
[02-Jan-2023 15:27:21 Asia/Kolkata] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/erpm/Controller/get_site_master_controller.php on line 45
[02-Jan-2023 15:27:21 Asia/Kolkata] PHP Notice:  Undefined variable: row in /var/www/html/erpm/Controller/get_site_master_controller.php on line 43
[02-Jan-2023 15:27:21 Asia/Kolkata] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/erpm/Controller/get_site_master_controller.php on line 43
[02-Jan-2023 15:27:21 Asia/Kolkata] PHP Notice:  Undefined variable: row in /var/www/html/erpm/Controller/get_site_master_controller.php on line 45
[02-Jan-2023 15:27:21 Asia/Kolkata] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/erpm/Controller/get_site_master_controller.php on line 45
[02-Jan-2023 15:27:21 Asia/Kolkata] PHP Notice:  Undefined variable: row in /var/www/html/erpm/Controller/get_site_master_controller.php on line 43
